what,kind,bundleId,bundleVersion,description,time
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1401213619604
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1401213619604
started,bundle,org.tigris.subversion.subclipse.ui,1.8.14,"org.tigris.subversion.subclipse.ui",1401213619604
started,bundle,com.google.gdt.eclipse.designer,3.1.2.r36x201305212009,"com.google.gdt.eclipse.designer",1401213619604
started,bundle,com.google.gdt.eclipse.designer.GXT,3.1.2.r36x201305212016,"com.google.gdt.eclipse.designer.GXT",1401213619604
started,bundle,com.google.gdt.eclipse.designer.SmartGWT,3.1.2.r36x201305212016,"com.google.gdt.eclipse.designer.SmartGWT",1401213619604
started,bundle,com.google.gdt.eclipse.designer.UiBinder,3.1.2.r36x201305212009,"com.google.gdt.eclipse.designer.UiBinder",1401213619635
started,bundle,com.google.gdt.eclipse.designer.hosted,3.1.2.r36x201305212000,"com.google.gdt.eclipse.designer.hosted",1401213619635
started,bundle,org.eclipse.wb.core,1.6.0.r36x201305211944,"org.eclipse.wb.core",1401213619635
started,bundle,org.eclipse.wb.core.java,1.6.0.r36x201305211947,"org.eclipse.wb.core.java",1401213619635
started,bundle,org.eclipse.wb.core.lib,1.6.0.r36x201305211944,"org.eclipse.wb.core.lib",1401213619635
os,sysinfo,,,"win32",1401213619650
arch,sysinfo,,,"x86",1401213619650
ws,sysinfo,,,"win32",1401213619650
locale,sysinfo,,,"iw_IL",1401213619650
processors,sysinfo,,,"2",1401213619650
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1401213619650
java.runtime.version,sysinfo,,,"1.7.0_55-b14",1401213619650
java.specification.name,sysinfo,,,"Java Platform API Specification",1401213619650
java.specification.vendor,sysinfo,,,"Oracle Corporation",1401213619650
java.specification.version,sysinfo,,,"1.7",1401213619650
java.vendor,sysinfo,,,"Oracle Corporation",1401213619650
java.version,sysinfo,,,"1.7.0_55",1401213619650
java.vm.info,sysinfo,,,"mixed mode, sharing",1401213619650
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1401213619650
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1401213619650
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1401213619650
java.vm.specification.version,sysinfo,,,"1.7",1401213619650
java.vm.vendor,sysinfo,,,"Oracle Corporation",1401213619650
java.vm.version,sysinfo,,,"24.55-b03",1401213619650
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1401213620664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401213621164
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1401213622412
